Station_ID,LINE
1,blue
1,silver
2,green
3,green
3,yellow
4,blue
5,silver
6,orange
6,silver
7,blue
7,silver
8,red
9,blue
9,yellow
10,green
11,red
12,blue
12,silver
13,blue
13,orange
13,silver
14,orange
15,orange
15,silver
16,red
17,green
18,green
19,green
20,orange
20,silver
21,blue
21,yellow
22,orange
23,blue
23,silver
24,silver
25,orange
26,red
27,orange
27,silver
28,blue
28,orange
28,silver
29,yellow
30,red
31,blue
31,orange
31,silver
32,blue
32,orange
32,silver
33,blue
33,orange
33,silver
34,blue
34,orange
34,silver
35,red
36,red
36,green
37,blue
38,red
39,red
39,green
39,yellow
40,green
41,red
42,green
43,silver
44,red
45,silver
46,yellow
47,green
48,silver
49,red
50,blue
50,yellow
51,green
51,yellow
51,orange
51,blue
51,silver
52,orange
53,silver
54,silver
55,blue
55,orange
55,silver
56,red
57,red
57,blue
57,orange
57,silver
58,orange
59,blue
59,silver
60,green
60,yellow
61,green
62,green
63,orange
64,red
65,red
66,blue
66,yellow
67,blue
67,yellow
68,blue
68,orange
68,silver
69,blue
69,yellow
70,silver
71,red
72,red
73,blue
73,yellow
74,blue
74,orange
74,silver
75,red
76,green
77,red
78,blue
78,orange
78,silver
79,green
80,silver
81,blue
81,orange
81,silver
82,green
83,red
84,red
85,red
86,silver
87,green
88,red
89,blue
90,red
91,orange
92,orange
92,silver
93,green
94,orange
95,green
96,red
97,silver
98,red
